match,teamInning,battingPosition,batsman,R,B,M,4s,6s,SR,match_id,out/not_out
Afghanistan Vs England,England,3,Dawid Malan,18,30,40,0,0,60.00,T20I # 1840,out
Afghanistan Vs England,England,4,Ben Stokes,2,4,11,0,0,50.00,T20I # 1840,out
Afghanistan Vs England,England,5,Liam Livingstone,29,21,34,3,0,138.09,T20I # 1840,not_out
Afghanistan Vs England,England,6,Harry Brook,7,6,9,0,0,116.66,T20I # 1840,out
Afghanistan Vs England,England,7,Moeen Ali,8,10,13,0,0,80.00,T20I # 1840,not_out
Ireland Vs Sri Lanka,Ireland,1,Paul Stirling ,34,25,45,4,1,136.00,T20I # 1841,out
Ireland Vs Sri Lanka,Ireland,2,Andy Balbirnie (c),1,5,7,0,0,20.00,T20I # 1841,out
Ireland Vs Sri Lanka,Ireland,3,Lorcan Tucker ,10,11,20,1,0,90.90,T20I # 1841,out
Ireland Vs Sri Lanka,Ireland,4,Harry Tector ,45,42,59,2,1,107.14,T20I # 1841,out
Ireland Vs Sri Lanka,Ireland,5,Curtis Campher ,2,4,6,0,0,50.00,T20I # 1841,out
